smiles,TADF-likeness
c1ccc2cc3c(cc2c1)sc1ccc(-c2c4ccccc4c(-c4cc5ccc6ccccc6c5c5ccccc45)c4ccccc24)cc13,77.46331024
Cc1cc(-c2ccc(Oc3ccccc3)cc2)ccc1Sc1ccc(-c2ccc(Oc3ccccc3)cc2)cc1C,76.21601868
c1ccc2c(c1)oc1cccc(-c3c4ccccc4c(-c4ccc5oc6ccc7oc8ccccc8c7c6c5c4)c4ccccc34)c12,78.39742279
Cc1ccc(S(=O)(=O)N2c3ccccc3CC2(C)/C=C/Cc2ccccc2)cc1,75.47689819
CC1=NC(C)=NC(c2ccc(-n3c4cc(N5c6ccccc6C6C=CC=CC65C)ccc4c4ccc(-n5c6ccccc6c6ccccc65)cc43)cc2C#N)=CC1,78.21421814
C=Cc1sc2ccc(-c3ccc4sc5c(N(c6ccccc6)c6ccccc6)cc(N(C(=CCC)CCC)c6ccccc6)cc5c4c3)cc2c1C=CC,77.50704193
CC=CC=CC=C(C)c1cc(-c2ccc(-n3c4ccccc4c4c5ccccc5c5c6ccccc6sc5c43)cc2)cc(-c2ccccn2)n1,79.40434265
c1ccc(-c2cc(-c3ccccc3)cc(-c3ccc(-c4ccc(-c5cc6c7ccc8ccccc8c7sc6c6nc7cc8ccccc8cc7n56)cc4)cc3)c2)cc1,76.11950684
c1ccc2c(-c3c4ccccc4c(-c4ccc5cc(-c6cc7c8ccccc8sc7c7c6sc6ccccc67)ccc5c4)c4ccccc34)cccc2c1,77.1762619
c1ccc2cc3c(cc2c1)c1cc2c(cc1c1cccnc13)sc1ccccc12,79.75064087
Cc1ccc(-c2ccc([Si](c3ccccc3)(c3ccccc3)c3ccccc3)cc2)nc1,79.21941376
c1ccc(-c2nc(-c3cccc4oc5ccc(-c6ccc7c(c6)c6ccccc6n7-c6ccccc6)cc5c34)nc(-c3cccc4sc5ccccc5c34)n2)cc1,79.32894897
c1ccc(-c2nc(-c3ccccc3)nc(-c3ccc4oc5cc(-c6nc(-c7ccccc7)nc7c6sc6ccccc67)ccc5c4c3)n2)cc1,77.46936035
CCc1ccc(S(=O)(=O)c2nnn3c2nc(N[C@@H](C)c2ccccc2)c2ccccc23)cc1,77.69889832
COc1ccc(-c2oc(-c3c(C)c(C)cc(C)c3C)c3ccccc23)cc1OC,76.46617126
CC(C)Oc1ccc(-c2ccn3c(-c4ccc5nccnc5c4)cnc3c2)cc1,78.65382385
c1ccc2c(c1)ccc1[nH]c3c(-c4cccc5c(-c6cccc7oc8ccccc8c67)cccc45)cccc3c12,75.49687195
c1ccc(-c2nc(-c3ccccc3)nc(-c3ccc(-c4ccc5c6c4ccc4sc7cccc(c7c46)S5)cc3)n2)cc1,78.20063782
CCOn1nnnc1-c1ccc(COc2cccc(OCc3ccc4ccccc4n3)c2)cc1,75.29253387
C=Cc1c(C=CC)sc2ccc(-n3c(-c4ccccc4)cc4ccc(-c5ccc6c(c5)cc(-c5ccccc5)n6-c5cccc6c5C=CCC6)cc43)cc12,79.24664307
CC(C)(C)c1ccc(N(c2ccc(C(C)(C)C)cc2)c2cc3c(c4sc5ccccc5c24)-c2c(ccc4c2sc2ccccc24)C32c3ccccc3-c3ccccc32)cc1,79.5981369
c1ccc(-c2c3ccccc3c(-c3ccc4c(c3)sc3c(-c5c6ccccc6c(-c6ccc(-c7cccc8ccccc78)cc6)c6ccccc56)cccc34)c3ccccc23)cc1,77.59065247
Cc1ccc(C)c(COc2ccc(N(Cc3cc(C)ccc3C)Cc3cc(C)ccc3C)cc2)c1,77.41544342
C(=C(Nc1c(-c2ccccc2)cccc1-c1ccccc1)c1ccccc1)c1nc(-c2ccccc2)cs1,77.37664032
CC(C)(C)c1nc(-c2cccc(-c3cccc(-c4cccc5c4sc4ccccc45)c3)c2)c2oc3c4ccccc4ccc3c2n1,75.20259857
C1=CC2NC(c3ccc(-c4c5oc6ccccc6c5cc5c4oc4ccccc45)cc3)=C(C3=CCCC=C3)N2C=C1,78.77629852
C=C(CC)c1ccc2c(c1)nc(Nc1ccc(C)cc1)n2C(C)(C)c1ccccc1,77.65016174
CC(C)c1ccc2c(sc3c(C(C)C)cccc32)c1-n1ccnc1-c1ccccc1,77.21878052
COc1ccc(-c2c(-c3ccc(CCCN(C)C)cc3)cn3ccc4cc(OC)c(OC)cc4c23)cc1OC,76.42054749
c1ccc(-c2cc(N(c3ccc(-c4ccccc4)c4ccccc34)c3cccc4c3sc3ccccc34)ccc2-c2ccc3sc4ccccc4c3c2)cc1,79.93795776
c1ccc(-c2cc(-c3ccc(-c4cccnc4)cc3)nc(-c3ccc(-c4ccc(-c5ccc6sc7ccccc7c6c5)c5c4oc4ccccc45)cc3)n2)cc1,77.38122559
c1ccc(-c2nc(-c3ccccc3-c3nc(-c4ccccc4)c4c(n3)sc3ccccc34)nc3sc4ccccc4c23)cc1,79.90138245
CC(C)c1cccc(C(C)C)c1-n1ccnc1-c1cccc(C(C)(C)c2cccc(-c3nccn3-c3ccccc3)c2)c1,78.83739471
c1ccc2c(c1)cc(-c1ccc3oc4ccc5oc6ccc(-c7cc8ccccc8c8ccccc78)cc6c5c4c3c1)c1ccccc12,77.47444916
Cc1ccc(-c2ccc3c(c2)C(C)(C)c2cc4c(cc2-3)C(C)(C)c2cc(-c3ccc(C)s3)cc(-c3ccccc3)c2-4)s1,78.44987488
CCc1ccc(C(c2ccc(CC)cc2)c2ccc(C(c3ccc(CC)cc3)c3ccc(CC)cc3)cc2)cc1,79.0917511
COc1ccc(-c2c3ccccc3c(C(=O)c3ccccc3)c3[nH]c4ccccc4c23)cc1,79.05819702
CCCCC(CC)CC1(CC(CC)CCCC)c2cc(Nc3cccc4ccccc34)ccc2-c2ccc(Nc3cccc4ccccc34)cc21,77.86871338
Cc1cc2cc3cc4cc5sc(-c6ccc7c(ccc8c9cc%10c(cc9n(C)c78)c7ccc8ccccc8c7n%10C)c6)cc5cc4cc3cc2s1,75.3842392
CC1=CC(c2ccc(-c3ccccc3)cc2P(c2ccccc2)c2ccccc2)C(C)=C1C,78.84435272
C1=CCC(c2cc(-c3ccccc3)nc(-n3c4cc5c(cc4c4cc6c(cc43)oc3cc4c(cc36)CC4)CC5)n2)C=C1,78.92089844
c1ccc(-c2nc(-c3ccco3)c(-c3cccs3)nc2-c2cccc3ccccc23)cc1,76.89620972
COc1cc2c(cc1OC)CN(c1c(C)c(C)c3c(c1C)C(c1ccc(C(C)C)cc1)C(C)(C)O3)C2,79.13126373
c1ccc2cc(-c3ccc(-c4c5ccccc5c(-c5ccc6c(c5)sc5c7ccccc7ccc65)c5ccccc45)cc3)ccc2c1,77.75350952
CC1(C)c2ccccc2-c2cc3c(cc21)Oc1ccc(-c2ccccc2P(=O)(c2ccccc2)c2ccccc2)cc1O3,79.03256226
N#Cc1cc(Cn2cc3nc(-c4cccc(F)c4F)nc-3cn2)ccc1-c1ccccc1,76.38656616
Cc1ccnc(-c2cc(Cc3cc(-c4cc(C)ccn4)nc(-c4ccc5ccc6cccnc6c5n4)c3)ccn2)c1,79.72084808
c1ccc(-c2ccc3ccc(-c4ccc5ccc6ccc7cc(-c8ccc9c(c8)cc(-c8ccc%10oc%11ccccc%11c%10c8)c8ccc%10ccc%11ccccc%11c%10c89)c8ccccc8c7c6c5c4)cc3c2)cc1,78.58796692
c1ccc2c(c1)sc1c(-c3ccc(-c4ccnc(-c5cc(-c6ccc(-c7cccc8c7sc7ccccc78)cc6)ccn5)c4)cc3)cccc12,79.62114716
Cc1cc(C)c(-c2ccc3c(c2)c2c(-c4cccc(-c5cccc6c5c5cc(-c7c(C)cc(C)cc7C)ccc5n6-c5ccc6sc7ccccc7c6c5)c4)cccc2n3-c2ccc3oc4ccccc4c3c2)c(C)c1,78.60397339
Cc1ccccc1OPOc1ccc2ccccc2c1Cc1c(OPOc2ccccc2C)ccc2ccccc12,79.62255859
c1cncc(-c2c3ccccc3c(-c3ccc4c(c3)sc3ccc(-c5c6ccccc6c(-c6cccnc6)c6ccccc56)cc34)c3ccccc23)c1,77.36418915
c1ccc(-c2nc3ccccc3nc2-c2ccc(-c3ccc(-c4nc5ccccc5n4C4C5CC54)cc3)cc2)cc1,77.74467468
CC=CC=C(C)c1ccc(-c2ccc(Cc3ccc(C(C=CCc4ccccc4)=CC)c(C)c3)cc2C)cc1,79.52774811
C(=C/c1ccc(Cc2ccccc2)cc1)\c1ccc(Cc2ccccc2)cc1,75.20744324
C(=CP(Cc1ccccc1)c1ccccc1)P(C=CP(Cc1ccccc1)c1ccccc1)c1ccccc1,75.71385956
c1cc(-c2cnc3sc4c(-c5cccc(-c6cccc7c6oc6ccccc67)c5)cccc4c3n2)cc(-c2cccc3c2sc2ccccc23)c1,75.26570129
c1ccc2cc(-c3c4ccccc4c(-c4ccc5c(c4)sc4ccc6sc7ccccc7c6c45)c4ccccc34)ccc2c1,77.8196106
c1ccc2cc(-c3c4ccccc4c(-c4cccc5oc6cc7ccccc7cc6c45)c4ccccc34)ccc2c1,78.77465057
c1ccc(-c2ccc(-c3cccc(-c4cccc(-c5cccc6c5sc5ccccc56)c4)c3)cc2)cc1,79.25347137
c1cc(-c2cc(-c3ccncc3)cc(-c3ccncc3)c2)cc(-c2cccc3c2sc2c(-c4cccc5c4sc4ccccc45)cccc23)c1,78.34640503
N#Cc1ccc(Cn2nc(-c3c(-c4ccccc4)nn4ccccc34)ccc2=O)cc1,77.66317749
c1ccc(-c2cc(-c3ccc4sc5ccccc5c4c3)cc(N(c3ccc(-c4ccc5ccccc5c4)cc3)c3cccc4c3oc3ccccc34)c2)cc1,75.96062469
CC(C)c1cccc(C(C)C)c1-n1ccnc1-c1cccc([Si](c2ccccc2)(c2ccccc2)c2cccc(-c3ccccn3)c2)c1,77.70287323
CNc1ccc(NC)c(-c2ccc(-c3nc(-c4ccccc4)cc(-c4ccccc4)n3)cc2)c1,79.58383179
CC(C)(C)c1cccc2nc(-c3ccccc3)n3ccnc3c12,76.9365387
